,index,YEAR,MONTH_NAME,EPISODE_ID,EVENT_ID,LOCATION,STATE,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,LATITUDE,LONGITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,MAGNITUDE,FLOOD_CAUSE,TOR_F_SCALE,Month_Num,Month_Day,geometry,index_right,city,state_id,state_name,lat,lng
17,23326,2024,January,187264,1149632,STEINHATCHEE,GULF OF MEXICO,Marine Thunderstorm Wind,06-JAN-24 05:56:00,06-JAN-24 05:56:00,29.66,-83.41,29.66,-83.41,29.66,-83.41,37.0,,,1,2024-01-06,POINT (-7914430.479210397 9304381.180311952),17059,Steinhatchee,FL,Florida,29.6795,-83.3837
18,18041,2024,January,187654,1152259,PLAYALINDA BEACH,ATLANTIC SOUTH,Marine Thunderstorm Wind,06-JAN-24 12:45:00,06-JAN-24 12:45:00,28.63,-80.66,28.63,-80.66,28.63,-80.66,35.0,,,1,2024-01-06,POINT (-8047315.554870775 8734401.872120233),970,Titusville,FL,Florida,28.5727,-80.8193
19,19849,2024,January,186968,1149635,LANARK VILLAGE,FLORIDA,Thunderstorm Wind,06-JAN-24 03:25:00,06-JAN-24 03:25:00,29.88,-84.59,29.88,-84.59,29.88,-84.59,50.0,,,1,2024-01-06,POINT (-7889657.151330275 9535258.378891533),10089,Carrabelle,FL,Florida,29.8555,-84.6685
20,17503,2024,January,188493,1158425,GARDEN CITY,LOUISIANA,Flash Flood,08-JAN-24 15:10:00,08-JAN-24 16:10:00,29.758,-91.5053,29.8183,-91.5373,29.7936,-91.4859,,Heavy Rain,,1,2024-01-08,POINT (-7868542.286430617 10862832.720278649),5634,Franklin,LA,Louisiana,29.7851,-91.5098
21,17502,2024,January,188493,1158425,STERLING JCT,LOUISIANA,Flash Flood,08-JAN-24 15:10:00,08-JAN-24 16:10:00,29.787,-91.5335,29.8183,-91.5373,29.7936,-91.4859,,Heavy Rain,,1,2024-01-08,POINT (-7861416.889697925 10867181.253263222),5634,Franklin,LA,Louisiana,29.7851,-91.5098
22,21865,2024,January,188236,1156445,GULFPORT OUTER RANGE STATION (GPOM6),GULF OF MEXICO,Marine Thunderstorm Wind,08-JAN-24 16:03:00,08-JAN-24 16:03:00,30.0063,-89.9009,30.0063,-89.9009,30.0063,-89.9009,50.0,,,1,2024-01-08,POINT (-7853466.786698051 10551665.656561634),55,New Orleans,LA,Louisiana,30.0687,-89.9288
23,17505,2024,January,188493,1158426,(LCH)LK CHARLES MUNI,LOUISIANA,Hail,08-JAN-24 11:52:00,08-JAN-24 11:52:00,30.1252,-93.2163,30.1252,-93.2163,30.1252,-93.2163,2.0,,,1,2024-01-08,POINT (-7730930.32807787 11167159.524295349),5291,Prien,LA,Louisiana,30.1601,-93.2611
24,17991,2024,January,187660,1153456,KAHALA,HAWAII,Flash Flood,08-JAN-24 15:06:00,08-JAN-24 18:06:00,21.272,-157.7886,21.274,-157.7872,21.272,-157.7886,,Heavy Rain,,1,2024-01-08,POINT (-1521046.3050920214 17517448.596237414),937,East Honolulu,HI,Hawaii,21.2975,-157.7211
25,17992,2024,January,187660,1153458,KALIHI,HAWAII,Flood,08-JAN-24 14:48:00,08-JAN-24 17:48:00,21.3385,-157.8986,21.3385,-157.8986,21.3355,-157.8996,,Heavy Rain,,1,2024-01-08,POINT (-1508185.935000328 17511278.98379685),3047,Halawa,HI,Hawaii,21.3753,-157.9185
26,17993,2024,January,187660,1153458,KALIHI,HAWAII,Flood,08-JAN-24 14:48:00,08-JAN-24 17:48:00,21.3378,-157.8963,21.3385,-157.8986,21.3355,-157.8996,,Heavy Rain,,1,2024-01-08,POINT (-1508444.6307254524 17511328.376701303),3047,Halawa,HI,Hawaii,21.3753,-157.9185
